dest	src	nlq	lq	cost
10.63.222.33	10.63.25.97	0.732	0.631	2.159
10.63.21.33	10.63.28.33	1.000	0.874	1.143
10.63.35.33	10.63.29.33	0.780	0.588	2.178
10.63.106.33	10.63.29.33	0.729	0.740	1.850
10.63.2.33	10.63.29.97	0.792	0.729	1.730
10.63.6.97	10.63.29.97	0.474	0.592	3.559
10.63.8.97	10.63.29.97	0.894	0.658	1.697
10.63.10.97	10.63.29.97	0.925	0.851	1.270
10.63.11.97	10.63.29.97	0.960	0.960	1.083
10.63.13.97	10.63.29.97	0.940	0.831	1.277
10.63.25.97	10.63.29.97	0.529	0.470	4.014
10.63.222.33	10.63.29.97	0.454	0.470	4.671
10.63.1.1	10.63.30.33	1.000	1.000	1.000
10.63.6.33	10.63.30.33	0.592	0.725	2.327
10.63.175.33	10.63.30.33	0.294	0.557	6.105
10.63.1.1	10.63.31.33	1.000	1.000	1.000
10.63.22.1	10.63.31.33	0.979	1.000	1.020
10.63.1.1	10.63.32.33	1.000	1.000	1.000
10.63.19.33	10.63.32.33	0.897	1.000	1.113
10.63.7.33	10.63.32.65	0.937	1.000	1.066
10.63.37.129	10.63.32.65	0.925	1.000	1.080
10.63.1.97	10.63.33.33	0.246	0.576	7.021
10.63.1.1	10.63.34.33	1.000	1.000	1.000
10.63.2.33	10.63.34.97	1.000	0.925	1.080
10.63.6.97	10.63.34.97	1.000	0.929	1.075
10.63.8.97	10.63.34.97	0.979	0.940	1.083
10.63.10.97	10.63.34.97	0.979	0.909	1.121
10.63.35.97	10.63.34.97	1.000	1.000	1.000
10.63.222.33	10.63.34.97	1.000	1.000	1.000
10.63.21.33	10.63.35.33	0.765	0.874	1.495
10.63.29.33	10.63.35.33	0.588	0.804	2.114
10.63.2.33	10.63.35.97	1.000	0.721	1.386
10.63.6.97	10.63.35.97	1.000	0.748	1.335
10.63.8.97	10.63.35.97	0.944	0.689	1.532
10.63.34.97	10.63.35.97	1.000	1.000	1.000
10.63.222.33	10.63.35.97	1.000	1.000	1.000
10.63.1.1	10.63.37.129	1.000	1.000	1.000
10.63.7.33	10.63.37.129	0.858	0.968	1.201
10.63.32.65	10.63.37.129	0.976	0.925	1.106
10.63.43.33	10.63.40.33	1.000	0.905	1.104
10.63.110.33	10.63.40.33	0.940	0.979	1.083
10.63.145.97	10.63.40.33	1.000	1.000	1.000
10.63.154.33	10.63.40.33	0.438	0.753	3.023
10.63.42.33	10.63.41.33	1.000	0.979	1.020
10.63.1.1	10.63.42.33	1.000	1.000	1.000
10.63.17.33	10.63.42.33	0.866	0.851	1.355
10.63.41.33	10.63.42.33	0.964	1.000	1.036
10.63.1.1	10.63.43.33	1.000	1.000	1.000
10.63.40.33	10.63.43.33	0.909	1.000	1.099
10.63.110.33	10.63.43.33	0.960	1.000	1.040
10.63.145.97	10.63.43.33	0.851	1.000	1.175
10.63.154.33	10.63.43.33	0.670	0.948	1.571
10.63.14.97	10.63.45.33	1.000	0.454	2.198
10.63.111.33	10.63.45.33	1.000	1.000	1.000
10.63.1.1	10.63.51.33	1.000	1.000	1.000
10.63.1.1	10.63.52.33	1.000	1.000	1.000
10.63.17.33	10.63.52.33	0.948	0.744	1.414
10.63.23.33	10.63.52.33	0.952	0.901	1.163
10.63.73.33	10.63.52.33	1.000	1.000	1.000
10.63.168.33	10.63.52.33	1.000	1.000	1.000
10.63.1.1	10.63.53.33	1.000	1.000	1.000
10.63.86.33	10.63.53.33	0.392	0.693	3.673
10.63.1.1	10.63.59.33	1.000	1.000	1.000
10.63.1.1	10.63.60.33	1.000	1.000	1.000
10.63.61.33	10.63.60.33	1.000	1.000	1.000
10.63.60.33	10.63.61.33	1.000	1.000	1.000
10.63.1.1	10.63.63.33	1.000	1.000	1.000
10.63.64.33	10.63.63.33	0.843	0.619	1.914
10.63.65.33	10.63.63.33	0.933	0.835	1.282
10.63.68.33	10.63.63.33	1.000	1.000	1.000
